LON, LAT
120.685242182, 31.3987057563
120.685236147, 31.3987089414
120.68522634, 31.398714222
120.685218042, 31.3987185806
120.685210414, 31.3987226877
120.685202787, 31.398726711
120.685194656, 31.3987309858
120.685185017, 31.398736015
120.685177054, 31.3987402059
120.685169091, 31.3987443969
120.685161212, 31.3987485878
120.685153417, 31.3987526949
120.685145706, 31.3987567183
120.685138162, 31.3987606578
120.685130451, 31.3987646811
120.685121231, 31.3987695426
120.685113268, 31.3987736497
120.685106898, 31.3987770025
120.685097929, 31.3987816125
120.685090804, 31.3987853844
120.685081249, 31.3987903297
120.685073202, 31.3987944368
120.685067251, 31.3987975381
120.685058283, 31.3988020644
120.685050571, 31.3988060877
120.68504286, 31.398810111
120.685034562, 31.3988143019
120.685024504, 31.3988194149
120.685017044, 31.3988231868
120.685009584, 31.3988269586
120.685001956, 31.3988308981
120.684994413, 31.3988347538
120.684986617, 31.3988386095
120.684978906, 31.398842549
120.684970692, 31.3988467399
120.684962142, 31.3988510985
120.684954347, 31.3988549542
120.684944792, 31.3988597319
120.684938505, 31.398862917
120.68492895, 31.3988676947
120.684921155, 31.3988715503
120.684913276, 31.3988754898
120.684905481, 31.3988794293
120.684897685, 31.398883285
120.68488989, 31.3988871407
120.684882095, 31.3988909964
120.684872791, 31.3988956902
120.684864996, 31.3988995459
120.684857368, 31.3989033177
120.684850076, 31.3989068381
120.684842365, 31.3989106938
120.68483457, 31.3989145495
120.684826607, 31.398918489
120.68481856, 31.3989225123
120.684810681, 31.398926368
120.684802635, 31.3989303913
120.684794839, 31.398934247
120.68478629, 31.3989385217
120.684778914, 31.398942126
120.684771789, 31.3989456464
120.684764246, 31.3989493344
120.684756618, 31.3989530224
120.684748571, 31.3989568781
120.684738345, 31.3989618234
120.684730047, 31.3989657629
120.684721498, 31.3989699539
120.684713786, 31.3989736419
120.684706243, 31.39897733
120.684698531, 31.3989811018
120.68469082, 31.3989847898
120.684683025, 31.3989886455
120.684675062, 31.3989925012
120.684665842, 31.3989969436
120.684660142, 31.3989997935
120.684652599, 31.3990034815
120.684643043, 31.3990080915
120.684633572, 31.3990127016
120.684627201, 31.3990158029
120.684617981, 31.3990202453
120.684612114, 31.3990230951
120.684602559, 31.3990277052
120.684595769, 31.3990309741
120.684586382, 31.3990355842
120.684579089, 31.3990391046
120.684571462, 31.3990427088
120.684564002, 31.3990463968
120.684556123, 31.3990501687
120.6845464, 31.3990549464
120.684539946, 31.3990580477
120.68452972, 31.399062993
120.684521841, 31.3990667649
120.684514381, 31.3990703691
120.684508178, 31.3990733866
120.684499126, 31.3990777452
120.684491331, 31.3990814332
120.684483452, 31.399085205
120.684475489, 31.3990890607
120.684467023, 31.399093084
120.684457384, 31.3990977779
120.684451181, 31.3991007116
120.684441878, 31.399105154
120.684435926, 31.3991080038
120.684426874, 31.3991122786
120.68441933, 31.3991158828
120.684409942, 31.3991203252
120.684401812, 31.3991241809
120.684393682, 31.3991281204
120.684385551, 31.3991318922
120.684377588, 31.3991356641
120.684370045, 31.3991391845
120.684362249, 31.3991428725
120.684354873, 31.3991463929
120.684347162, 31.3991499972
120.684337271, 31.3991547748
