LON, LAT
120.687632306, 31.3969213272
120.687631103, 31.3969228254
120.687629801, 31.3969242234
120.687628599, 31.3969256215
120.687627396, 31.3969270197
120.687626094, 31.3969284177
120.687624891, 31.3969298158
120.687623589, 31.3969312138
120.687622386, 31.396932712
120.687621184, 31.3969341101
120.687619882, 31.3969355081
120.687618679, 31.3969369062
120.687617377, 31.3969383042
120.687616174, 31.3969397024
120.687614872, 31.3969411003
120.68761367, 31.3969424985
120.687612467, 31.3969438966
120.687611165, 31.3969452946
120.687609962, 31.3969467928
120.68760866, 31.3969481907
120.687607457, 31.3969495889
120.687606155, 31.3969509869
120.687604953, 31.396952385
120.68760365, 31.396953783
120.687602448, 31.3969551811
120.687601145, 31.3969565791
120.687599943, 31.3969579773
120.68759864, 31.3969593752
120.687597438, 31.3969607734
120.687596135, 31.3969621713
120.687594933, 31.3969635695
120.687593631, 31.3969649675
120.687592428, 31.3969663656
120.687591126, 31.3969677636
120.687589923, 31.3969691617
120.687588621, 31.3969706597
120.687587419, 31.3969720579
120.687586116, 31.3969734559
120.687584914, 31.396974854
120.687583611, 31.396976252
120.687582309, 31.3969776499
120.687581106, 31.3969790481
120.687579804, 31.3969804461
120.687578601, 31.3969818442
120.687577299, 31.3969832422
120.687576097, 31.3969846403
120.687574794, 31.3969860383
120.687573491, 31.3969874363
120.687572289, 31.3969888344
120.687570987, 31.3969902324
120.687569684, 31.3969915303
120.687568482, 31.3969929285
120.687567179, 31.3969943264
120.687565877, 31.3969957244
120.687564674, 31.3969971226
120.687563372, 31.3969985205
120.687562169, 31.3969999187
120.687560867, 31.3970013166
120.687559564, 31.3970027146
120.687558362, 31.3970041128
120.687557059, 31.3970055107
120.687555757, 31.3970069087
120.687554555, 31.3970083069
120.687553252, 31.3970097048
120.68755195, 31.3970111028
120.687550647, 31.3970125008
120.687549445, 31.3970138989
120.687548142, 31.3970151968
120.68754684, 31.3970165948
120.687545537, 31.3970179928
120.687544335, 31.3970193909
120.687543032, 31.3970207889
120.68754173, 31.3970221869
120.687540427, 31.3970235848
120.687539225, 31.397024983
120.687537922, 31.3970263809
120.68753662, 31.3970276789
120.687535317, 31.3970290768
120.687534015, 31.3970304748
120.687532812, 31.397031873
120.68753151, 31.3970332709
120.687530207, 31.3970346689
120.687528905, 31.3970360669
120.687527602, 31.3970373648
120.6875263, 31.3970387628
120.687525097, 31.3970401609
120.687522492, 31.3970429569
120.687522492, 31.3970429569
120.68752119, 31.3970442548
120.687519887, 31.3970456528
120.687518585, 31.3970470507
120.687517282, 31.3970484487
120.687515979, 31.3970498467
120.687514777, 31.3970511448
120.687513475, 31.3970525427
120.687512172, 31.3970539407
120.68751087, 31.3970553387
120.687509567, 31.3970567366
120.687508264, 31.3970580346
120.687506962, 31.3970594325
120.687505659, 31.3970608305
120.687504357, 31.3970622285
120.687503054, 31.3970635264
120.687501752, 31.3970649244
120.687500449, 31.3970663223
120.687499247, 31.3970677205
120.687497944, 31.3970690184
120.687496642, 31.3970704164
120.687495339, 31.3970718144
120.687494037, 31.3970732123
120.687492734, 31.3970745103
120.687491432, 31.3970759082
120.687490129, 31.3970773062
120.687488827, 31.3970786041
120.687487524, 31.3970800021
120.687486221, 31.3970814001
120.687484919, 31.397082698
120.687483616, 31.397084096
120.687482314, 31.3970854939
120.687481011, 31.3970868919
120.687479709, 31.3970881898
120.687478406, 31.3970895878
120.687477104, 31.3970909858
